NOTATION,DATA_STATUS,COMP_TYPE,SUB_TYPE,APPROVED,X_COORD,Y_COORD,PARCEL,Location 1
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1403051,416615,'007000020063      ,"2518 HEMLOCK ST
CINCINNATO, OH
(39.12647610653878, -84.49370258430271)"
KEEP THE BUILDING VACANT,CIVIL1  ,CBHCODE ,VACANT  ,N,1402922,416914,'007000020042      ,"2537 HEMLOCK ST
CINCINNATO, OH
(39.12676098478677, -84.4938107240084)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1402922,416914,'007000020042      ,"2537 HEMLOCK ST
CINCINNATO, OH
(39.12676098478677, -84.4938107240084)"
CONDEMNATION,PREPROS ,CBHCODE ,VACANT  ,N,1403053,416882,'007000020104      ,"2538 HEMLOCK ST
CINCINNATO, OH
(39.12678147222006, -84.49366635447612)"
CONDEMNATION,FINLNOTC,CBHCODE ,VACANT  ,N,1403098,417131,'007000020113      ,"2612 HEMLOCK ST
CINCINNATO, OH
(39.12799938466472, -84.4935194237059)"
KEEP THE BUILDING VACANT,FINLNOTC,CBHCODE ,VACANT  ,N,1403112,417175,'007000020114      ,"2616 HEMLOCK ST
CINCINNATO, OH
(39.12806666863467, -84.49351079755591)"
CONDEMNATION,INTAKE  ,CBHCODE ,VACANT  ,N,1403070,417240,'007000020117      ,"2620 HEMLOCK ST
CINCINNATO, OH
(39.12813395260463, -84.49350217140592)"
KEEP THE BUILDING VACANT,FINLNOTC,CBHCODE ,VACANT  ,N,1403120,417249,'007000020117      ,"2620 HEMLOCK ST
CINCINNATO, OH
(39.12813395260463, -84.49350217140592)"
CONDEMNATION,FINLNOTC,CBHCODE ,VACANT  ,N,1403110,417260,'007000020118      ,"2622 HEMLOCK ST
CINCINNATO, OH
(39.12816759460533, -84.49349785832891)"
CONDEMNATION,FINLNOTC,CBHCODE ,VACANT  ,N,1403110,417260,'007000020118      ,"2622 HEMLOCK ST
CINCINNATO, OH
(39.12816759460533, -84.49349785832891)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1403087,417314,'007000020120      ,"2626 HEMLOCK ST
CINCINNATO, OH
(39.128234878575284, -84.49348923217892)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1402790,415382,'006800030020      ,"2320 KENTON ST
CINCINNATO, OH
(39.123270690363015, -84.49439436552868)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1402824,415798,'006800030044      ,"2350 KENTON ST
CINCINNATO, OH
(39.12409426514308, -84.4943100251345)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1402835,415820,'006800030045      ,"2352 KENTON ST
CINCINNATO, OH
(39.1241166263553, -84.49430811625052)"
KEEP THE BUILDING VACANT,FINLNOTC,CBHCODE ,VACANT  ,N,1402843,415951,'006800030057      ,"2404 KENTON ST
CINCINNATO, OH
(39.12490067368271, -84.49423873823797)"
KEEP THE BUILDING VACANT,CRIMINAL,CBHCODE ,VACANT  ,N,1402847,415976,'006800030058      ,"2406 KENTON ST
CINCINNATO, OH
(39.1250190244708, -84.49422746673434)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1402770,416104,'006800020289      ,"2417 KENTON ST
CINCINNATO, OH
(39.12523071249156, -84.49435393992536)"
KEEP THE BUILDING VACANT,FINLNOTC,CBHCODE ,VACANT  ,N,1402770,416250,'006800020326      ,"2429 KENTON ST
CINCINNATO, OH
(39.12546848453642, -84.49433577517539)"
KEEP THE BUILDING VACANT,CRIMPREP,CBHCODE ,VACANT  ,N,1404460,419657,'006500010051      ,"3003 KERPER AV
CINCINNATO, OH
(39.13517782243866, -84.48859263948647)"
CONDEMNATION,FINLNOTC,CBHCODE ,VACANT  ,N,1404460,419657,'006500010051      ,"3003 KERPER AV
CINCINNATO, OH
(39.13517782243866, -84.48859263948647)"
KEEP THE BUILDING VACANT,CRIMPREP,CBHCODE ,VACANT  ,N,1404478,419694,'006500010049      ,"3005 KERPER AV
CINCINNATO, OH
(39.135203827373914, -84.48857261844122)"
CONDEMNATION,CIVIL1  ,CBHCODE ,VACANT  ,N,1404478,419694,'006500010049      ,"3005 KERPER AV
CINCINNATO, OH
(39.135203827373914, -84.48857261844122)"
CONDEMNATION,FINLNOTC,CBHCODE ,VACANT  ,N,1404497,419743,'006500010047      ,"3007 KERPER AV
CINCINNATO, OH
(39.13532429155973, -84.48848174195015)"
KEEP THE BUILDING VACANT,PREPROS ,CBHCODE ,VACANT  ,N,1404497,419743,'006500010048      ,"3007 KERPER AV
CINCINNATO, OH
(39.13532429155973, -84.48848174195015)"
CONDEMNATION,CRIMPREP,CBHCODE ,VACANT  ,N,1404665,419794,'006500010057      ,"3016 KERPER AV
CINCINNATO, OH
(39.13568216355836, -84.48804538549768)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1404768,419936,'006000050143      ,"3028 KERPER AV
CINCINNATO, OH
(39.13602513928215, -84.48776279282387)"
CONDEMNATION,FINLNOTC,CBHCODE ,VACANT  ,N,1404869,420099,'006000050123      ,"3044 KERPER AV
CINCINNATO, OH
(39.13648244022431, -84.48738600261098)"
KEEP THE BUILDING VACANT,PREPROS ,CBHCODE ,VACANT  ,N,1404869,420099,'006000050123      ,"3044 KERPER AV
CINCINNATO, OH
(39.13648244022431, -84.48738600261098)"
CONDEMNATION,CRIMPREP,CBHCODE ,VACANT  ,N,1404953,420237,'006000050094      ,"3056 KERPER AV
CINCINNATO, OH
(39.13682541601679, -84.48710340988056)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1404976,420266,'006000050011      ,"3058 KERPER AV
CINCINNATO, OH
(39.13688257860308, -84.48705631112989)"
CONDEMNATION,DIVERSN ,CBHCODE ,VACANT  ,N,1404999,420292,'006000050090      ,"3060 KERPER AV
CINCINNATO, OH
(39.136948630610625, -84.48700153566561)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1404207,418682,'006500020153      ,"842 LINCOLN AV
CINCINNATO, OH
(39.132334775825626, -84.4894618325835)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1404247,418674,'006500020152      ,"844 LINCOLN AV
CINCINNATO, OH
(39.13231879984911, -84.4893127234693)"
KEEP THE BUILDING VACANT,FINLNOTC,CBHCODE ,VACANT  ,N,1404423,418519,'006500020122      ,"863 LINCOLN AV
CINCINNATO, OH
(39.132164444084935, -84.48888153482838)"
CONDEMNATION,ORDERS  ,CBHCODEC,VACANT  ,N,1406109,418489,'006600020212      ,"1223 LINCOLN AV
CINCINNATO, OH
(39.13218714884247, -84.48318680180564)"
KEEP THE BUILDING VACANT,CRIMINAL,CBHCODE ,VACANT  ,N,1405428,420792,'006000050059      ,"10 LINCOLN TER
CINCINNATO, OH
(39.1071299998498, -84.50412999989942)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1405428,420792,'006000050059      ,"10 LINCOLN TER
CINCINNATO, OH
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1402047,414501,'009000020186      ,"641 MANITOU ST
CINCINNATO, OH
(39.12106496572194, -84.49877748930636)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1402047,414501,'009000020186      ,"641 MANITOU ST
CINCINNATO, OH
(39.12106496572194, -84.49877748930636)"
CONDEMNATION,FINLNOTC,CBHCODE ,VACANT  ,N,1405126,420160,'006000050023      ,"3063 MATHERS ST
CINCINNATO, OH
(39.13681557142163, -84.48600641191665)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1402451,414729,'006900010173      ,"2210 MAY ST
CINCINNATO, OH
(39.12167239780732, -84.49553503967833)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1402498,415207,'006800020059      ,"2308 MAY ST
CINCINNATO, OH
(39.12286762491338, -84.49539549520131)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1402400,415444,'006800020120      ,"2323 MAY ST
CINCINNATO, OH
(39.123457627604594, -84.49548139985647)"
KEEP THE BUILDING VACANT,CRIMINAL,CBHCODE ,VACANT  ,N,1402400,415444,'006800020120      ,"2323 MAY ST
CINCINNATO, OH
(39.123457627604594, -84.49548139985647)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1402594,416022,'006800020276      ,"2408 MAY ST
CINCINNATO, OH
(39.125087730878555, -84.49518755782336)"
KEEP THE BUILDING VACANT,CRIMPREP,CBHCODE ,VACANT  ,N,1402575,417418,'009100040119      ,"2715 MAY ST
CINCINNATO, OH
(39.12854424001472, -84.4949761804168)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1402575,417418,'009100040119      ,"2715 MAY ST
CINCINNATO, OH
(39.12854424001472, -84.4949761804168)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1402777,417504,'007000020028      ,"2720 MAY ST
CINCINNATO, OH
(39.129024300962044, -84.49478808831677)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1401115,415121,'009000020023      ,"423 MCGREGOR AV
CINCINNATO, OH
(39.12267116246638, -84.50030539665296)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1401170,415097,'009000020024      ,"427 MCGREGOR AV
CINCINNATO, OH
(39.12266827586025, -84.50023323149973)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1402400,416405,'006800020349      ,"651 E MCMILLAN ST
CINCINNATO, OH
(39.12624231659842, -84.49584284734793)"
KEEP THE BUILDING VACANT,CIVIL2  ,CBHCODE ,VACANT  ,N,1402400,416405,'006800020349      ,"651 E MCMILLAN ST
CINCINNATO, OH
(39.12624231659842, -84.49584284734793)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1402690,416381,'006800020359      ,"709 E MCMILLAN ST
CINCINNATO, OH
(39.126162378650015, -84.49467158031094)"
KEEP THE BUILDING VACANT,CIVIL1  ,CBHCODE ,VACANT  ,N,1402732,416366,'006800020361      ,"713 E MCMILLAN ST
CINCINNATO, OH
(39.12614758480263, -84.49444755919343)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1403462,416275,'006800030170      ,"771 E MCMILLAN ST
CINCINNATO, OH
(39.125977594699265, -84.49197082421618)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1403478,416270,'006800030171      ,"773 E MCMILLAN ST
CINCINNATO, OH
(39.12596914107216, -84.49170030814976)"
KEEP THE BUILDING VACANT ,CIVIL2  ,CBHCODEC,VACANT  ,N,1404375,416195,'006700010140      ,"957 E MCMILLAN ST
CINCINNATO, OH
(39.12580934428749, -84.48900938512384)"
KEEP THE BUILDING VACANT,CRIMINAL,CBHCODE ,VACANT  ,N,1404412,416137,'006700010124      ,"961 E MCMILLAN ST
CINCINNATO, OH
(39.125800890657835, -84.48891005497539)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1404412,416137,'006700010124      ,"961 E MCMILLAN ST
CINCINNATO, OH
(39.125800890657835, -84.48891005497539)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1404447,416178,'006700010127      ,"965 E MCMILLAN ST
CINCINNATO, OH
(39.12579243703591, -84.48881072491788)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1404472,416175,'006700010128      ,"967 E MCMILLAN ST
CINCINNATO, OH
(39.125788210224954, -84.48876105988913)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1404523,416170,'006700010129      ,"975 E MCMILLAN ST
CINCINNATO, OH
(39.12577130296564, -84.48856239959223)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1403820,417366,'006700020103      ,"2635 MELROSE AV
CINCINNATO, OH
(39.12838205232703, -84.49058718688572)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1404007,417541,'006700020087      ,"2648 MELROSE AV
CINCINNATO, OH
(39.128694050162935, -84.49041132252782)"
KEEP THE BUILDING VACANT,CIVIL1  ,CBHCODE ,VACANT  ,N,1403863,417605,'006700020110      ,"2653 MELROSE AV
CINCINNATO, OH
(39.12879507241022, -84.49054215838042)"
CONDEMNATION,FINLNOTC,CBHCODE ,VACANT  ,N,1403976,418887,'006500020084      ,"3017 MELROSE AV
CINCINNATO, OH
(39.13254484645826, -84.49015506774455)"
CONDEMNATION,ORDERS  ,CBHCODE ,VACANT  ,N,1405485,418936,'006500030085      ,"3034 MENTOR AV
CINCINNATO, OH
(39.1071299998498, -84.50412999989942)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1405520,419145,'006500030066      ,"3050 MENTOR AV
CINCINNATO, OH
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,CIVIL1  ,CBHCODE ,VACANT  ,N,1405421,419233,'006500030107      ,"3059 MENTOR AV
CINCINNATO, OH
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,CIVIL1  ,CBHCODE ,VACANT  ,N,1406172,417631,'006100020058      ,"1230 MYRTLE AV
CINCINNATO, OH
(39.12966696535118, -84.48259426385111)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1406200,417620,'006100020059      ,"1232 MYRTLE AV
CINCINNATO, OH
(39.12965862920181, -84.48257759155238)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1406227,417605,'006100020060      ,"1234 MYRTLE AV
CINCINNATO, OH
(39.12965029305245, -84.48256091925366)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1403286,414448,'006900020110      ,"926 NASSAU ST
CINCINNATO, OH
(39.12064296482401, -84.49270838572319)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1403316,414445,'006900020019      ,"928 NASSAU ST
CINCINNATO, OH
(39.12063620192493, -84.4926244130596)"
KEEP THE BUILDING VACANT,CRIMPREP,CBHCODE ,VACANT  ,N,1403316,414445,'006900020019      ,"928 NASSAU ST
CINCINNATO, OH
(39.12063620192493, -84.4926244130596)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1403238,417699,'007000010008      ,"740 OAK ST
CINCINNATO, OH
(39.12955128278634, -84.49325352078802)"
CONDEMNATION,INTAKE  ,CBHCODE ,VACANT  ,N,1404089,417804,'006500020144      ,"844 OAK ST
CINCINNATO, OH
(39.12994679091915, -84.4900265639401)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1404802,414618,'006300040051      ,"2233 PARK AV
CINCINNATO, OH
(39.121448469343726, -84.48673994390255)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1404893,415397,'006300030066      ,"2335 PARK AV
CINCINNATO, OH
(39.12377550308054, -84.48649810985127)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1405011,416349,'006700030051      ,"2509 PARK AV
CINCINNATO, OH
(39.12583719714943, -84.48630110273395)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1405295,418712,'006600030093      ,"3011 PARK AV
CINCINNATO, OH
(39.132192722194304, -84.48558830458023)"
CONDEMNATION,HAZARD  ,CBHCODE ,VACANT  ,N,1402303,415581,'006800020116      ,"2334 PRESLEY AL
CINCINNATO, OH
(39.1071299998498, -84.50412999989942)"
KEEP THE BUILDING VACANT,ORDERS  ,CBHCODE ,VACANT  ,N,1406062,417736,'006600020113      ,"2808 PRESTON ST
CINCINNATO, OH
(39.12979270509721, -84.4830362634822)"
KEEP THE BUILDING VACANT,FINLNOTC,CBHCODE ,VACANT  ,N,1406062,417765,'006600020114      ,"2810 PRESTON ST
CINCINNATO, OH
(39.1298161682252, -84.48303419320621)"
KEEP THE BUILDING VACANT,CRIMINAL,CBHCODE ,VACANT  ,N,1405440,420728,'006000050059      ,"3250 RAMMELSBURG ST
CINCINNATO, OH
(39.13807378813862, -84.48559352113068)"
CONDEMNATION,ORDERS  ,CBHCODEC,VACANT  ,N,1401157,414378,'009000020207      ,"2100 READING RD
CINCINNATO, OH
(39.12046647562875, -84.50026033507294)"
KEEP THE BUILDING VACANT,FINLNOTC,CBHCODE ,VACANT  ,N,1400896,415043,'009000020007      ,"2224 READING RD
CINCINNATO, OH
(39.12235481309356, -84.501141659726)"
KEEP THE BUILDING VACANT,FINLNOTC,CBHCODE ,VACANT  ,N,1404237,415279,'006700010146      ,"2322 ST JAMES AV
CINCINNATO, OH
(39.12323189129242, -84.48967033411535)"
CONDEMNATION,CIVIL2  ,CBHCODE ,VACANT  ,N,1404152,415359,'006700010053      ,"2328 ST JAMES AV
CINCINNATO, OH
(39.123448039501625, -84.48961926311513)"
