PERIMETER,AREA,SNABND_,SNABND_ID,SNA_NAME,SNA_BND_,CANOPY_DEF,PM_YEAR,REFOREST,TOT_ACRES,Shape_Leng,Shape_Area,UTC_AC_201,UTC_PC_201,DELTA_PC,UTC_PC_200
51475.264730000002601,36646313.699699997901917,,32,HARTWELL,,10,2003,y,841.279999999999973,51475.263478200002282,36646314.375200003385544,262.779999999999973,31,0,31
75110.522909999999683,108463691.628000006079674,,33,COLLEGE HILL,,0,2000,n,2489.980000000000018,75110.523842700000387,108463691.478000000119209,1232.720000000000027,50,0,50
41952.976900000001478,45341041.068800002336502,,34,ROSELAWN,,7,2003,n,1040.8900000000001,41952.974887500000477,45341040.885099999606609,226.830000000000013,22,-9,31
15144.724410000000717,8688975.645039999857545,,35,COUNTY,,100,0,n,199.469999999999999,15144.723645199999737,8688975.093089999631047,67.420000000000002,34,0,0
57817.467819999998028,97583793.365700006484985,,36,MT.AIRY,,0,2000,n,2240.2199999999998,57817.468376400000125,97583792.320999994874001,1503.619999999999891,67,5,62
43090.563260000002629,70140291.245199993252754,,37,WINTON HILLS,,0,2000,n,1610.200000000000045,43090.562473199999658,70140291.164299994707108,679.129999999999995,42,-1,43
22183.417570000001433,22080530.949299998581409,,18,CARTHAGE,,16,2003,y,506.899999999999977,22183.417695500000264,22080531.075699999928474,82.400000000000006,16,-8,24
8321.245419999999285,3028920.311499999836087,,38,COUNTY-EDGEMOUNT,,100,0,n,69.530000000000001,8321.244840209999893,3028920.207469999790192,20.620000000000001,30,0,0
45162.079619999996794,54475190.191200003027916,,39,WINTON PLACE,,5,2000,n,1250.579999999999927,45162.080114999997022,54475190.335199996829033,521.610000000000014,42,6,36
31395.723470000000816,28264662.736900001764297,,40,KENNEDY HEIGHTS,,3,2003,n,648.870000000000005,31395.723283600000286,28264663.427400000393391,291.089999999999975,45,1,44
47648.782970000000205,88118949.242799997329712,,19,COUNTY-NORWOOD,,100,0,n,2022.930000000000064,47648.784237300002133,88118949.601799994707108,375.139999999999986,18,0,0
44764.528650000000198,47171473.851999998092651,,41,PLEASENT RIDGE,,7,2003,n,1082.910000000000082,44764.529397799997241,47171473.672499999403954,369.629999999999995,34,-1,35
37144.344089999998687,51936461.508900001645088,,42,COUNTY-ST.BERNARD,,100,0,n,1192.299999999999955,37144.343497000001662,51936460.980400003492832,157.530000000000001,13,0,0
17691.65060000000085,19537134.52250000089407,,3,MT.AUBURN,,0,2001,y,448.509999999999991,17691.650803699998505,19537134.452100001275539,156.379999999999995,35,-1,36
33875.725120000002789,51199081.21679999679327,,43,BONDHILL,,12,2003,y,1175.369999999999891,33875.723647799997707,51199081.395400002598763,265.420000000000016,23,-6,29
22163.156019999998534,15658114.182800000533462,,30,LOWER PRICE HILL,,4,2005,y,359.45999999999998,22163.155602999999246,15658114.599700000137091,63.130000000000003,18,0,18
38288.570560000000114,47883698.146200001239777,,44,NORTHSIDE,,3,2000,n,1099.259999999999991,38288.570372700000007,47883698.201999999582767,461.860000000000014,42,0,42
70237.956099999995786,181963047.428000003099442,,45,WESTWOOD,,0,2002,n,4177.300000000000182,70237.955982500003302,181963048.060000002384186,2065.369999999999891,49,1,48
38385.918660000003001,71780553.674799993634224,,46,OAKLEY,,6,2004,y,1647.849999999999909,38385.918481900000188,71780553.383799999952316,397,24,-11,35
45112.894050000002608,66124660.305200003087521,,47,MADISONVILLE,,2,2004,n,1518.009999999999991,45112.896110499998031,66124659.728799998760223,483.670000000000016,32,-9,41
34782.940340000001015,35682316.534500002861023,,48,NORTH AVONDALE-PADDOCK HILLS,,6,2001,n,819.149999999999977,34782.940579399997659,35682316.634400002658367,310.420000000000016,38,0,38
11071.346830000000409,6489910.810610000044107,,13,MT.ADAMS,,2,2001,n,148.990000000000009,11071.347145399999135,6489910.769449999555945,38.439999999999998,26,-8,34
36874.563379999999597,61516081.832699999213219,,49,CLIFTON,,1,2000,n,1412.210000000000036,36874.563620599998103,61516081.984499998390675,698.470000000000027,50,2,48
15682.856540000000678,11399641.65059999935329,,21,FAY APARTMENTS,,0,2002,n,261.699999999999989,15682.856852999999319,11399641.614399999380112,126.260000000000005,48,1,47
24750.989330000000336,28373137.569899998605251,,2,NORTH FAIRMOUNT-ENGLISH WOODS,,0,2002,n,651.360000000000014,24750.988769700001285,28373137.571699999272823,417.980000000000018,64,6,58
24139.238979999998264,23892855.550900001078844,,22,SOUTH CUMMINSVILLE-MILLVALE,,1,2002,n,548.5,24139.23879289999968,23892855.319699998944998,206.400000000000006,38,0,38
41101.302389999997104,60674789.935999996960163,,23,AVONDALE,,5,2001,y,1392.900000000000091,41101.302027700003237,60674789.852300003170967,467.980000000000018,34,-4,38
28653.136089999999967,34758820.434500001370907,,1,CAMP WASHINGTON,,9,2002,y,797.950000000000045,28653.136310999998386,34758820.772600002586842,65.040000000000006,8,0,8
47515.899539999998524,81018991.783700004220009,,20,HYDE PARK,,10,2001,y,1859.940000000000055,47515.898910999996588,81018991.900099992752075,808.169999999999959,44,4,40
22774.209100000000035,28302565.906399998813868,,4,MT.LOOKOUT,,9,2004,y,649.740000000000009,22774.208587900000566,28302565.729400001466274,382.509999999999991,59,0,59
25274.301559999999881,30960533.661200001835823,,24,EVANSTON,,2,2001,y,710.759999999999991,25274.302006999998412,30960533.6858000010252,208.120000000000005,29,-10,39
25338.798569999999017,27188139.838799998164177,,25,UNVERSITY HEIGHTS,,0,2002,n,624.149999999999977,25338.798584500000288,27188139.570300001651049,180.259999999999991,29,-12,41
